"Code","Heading","V2.1"
"AVRL1","Guitar",
"AVRN","Wind instruments",
"AVRQ","Mechanical musical instruments",
"AVRS","Electronic musical instruments",
"AVS","Techniques of music / music tutorials",
"AVX","Music recording & reproduction",
"B","Biography & True Stories",
"BG","Biography: general",
"BGA","Autobiography: general",
"BGB","Biography: business & industry",
"BGBA","Autobiography: business & industry",
"BGF","Biography: arts & entertainment",
"BGFA","Autobiography: arts & entertainment",
"BGH","Biography: historical, political & military",
"BGHA","Autobiography: historical, political & military",
"BGL","Biography: literary",
"BGLA","Autobiography: literary",
"BGR","Biography: royalty",
"BGRA","Autobiography: royalty",
"BGS","Biography: sport",
"BGSA","Autobiography: sport",
"BGT","Biography: science, technology & medicine","Mod"
"BGTA","Autobiography: science, technology & medicine","Mod"
"BGX","Biography: religious & spiritual",
"BGXA","Autobiography: religious & spiritual",
"BJ","Diaries, letters & journals",
"BK","Collected biographies","New"
"BM","Memoirs",
"BT","True stories",
"BTC","True crime",
"BTH","True stories: discovery / historical / scientific",
"BTM","True war  & combat stories",
"BTP","True stories of heroism, endurance & survival",
"BTX","Erotic confessions & true stories",
"C","Language",
"CB","Language: reference & general",
"CBD","Dictionaries",
"CBDX","Bilingual & multilingual dictionaries",
"CBF","Thesauri",
"CBG","Usage & grammar guides",
"CBP","Public speaking guides",
"CBV","Creative writing & creative writing guides",
"CBVS","Screenwriting techniques",
"CBW","Writing & editing guides",
"CBWJ","Journalistic style guides",
"CBWT","Technical writing",
"CBX","Language: history & general works",
"CF","linguistics",
"CFA","Philosophy of language",
"CFB","Sociolinguistics",
"CFC","Literacy",
"CFD","Psycholinguistics",
"CFDC","Language acquisition",
"CFDM","Bilingualism & multilingualism",
"CFF","Historical & comparative linguistics",
"CFFD","Dialect, slang & jargon",
"CFG","Semantics, discourse analysis, etc","Mod"
"CFGA","Semantics & pragmatics","New"
"CFGR","Discourse analysis","New"
"CFH","Phonetics, phonology",
"CFK","Grammar, syntax & morphology","Mod"
"CFL","Palaeography (history of writing)",
"CFLA","Writing systems, alphabets",
"CFM","Lexicography",
"CFP","Translation & interpretation",
"CFX","Computational linguistics",
"CFZ","Sign languages, Braille & other linguistic communication",
"CJ","Language teaching & learning (other than ELT)",
"CJA","Language teaching theory & methods",
"CJB","Language teaching & learning material & coursework",
"CJBG","Grammar & vocabulary",
"CJBR","Language readers",
"CJBT","Language self-study texts",
"CJBV","Language learning: audio-visual & multimedia",
"CJC","Language learning: specific skills",
"CJCK","Speaking / pronunciation skills",
"CJCL","Listening skills",
"CJCR","Reading skills",
"CJCW","Writing skills",
"D","Literature & literary studies",
"DB","Classical texts","New"
"DC","Poetry",
"DCF","Poetry by individual poets",
"DCQ","Poetry anthologies (various poets)",
"DD","Plays, playscripts",
"DDS","Shakespeare plays",
"DN","Prose: non-fiction",
"DNF","Literary essays",
"DNJ","Reportage & collected journalism",
"DNS","Speeches","New"
"DQ","Anthologies (non-poetry)",
"DS","Literature: history & criticism",
"DSA","Literary theory",
"DSB","Literary studies: general",
"DSBB","Literary studies: classical, early & medieval",
"DSBD","Literary studies: c 1500 to c 1800",
"DSBF","Literary studies: c 1800 to c 1900 ",
"DSBH","Literary studies: from c 1900 -",
"DSBH5","Literary studies: post-colonial literature",
"DSC","Literary studies: poetry & poets",
"DSG","Literary studies: plays & playwrights",
"DSGS","Shakespeare studies & criticism",
"DSK","Literary studies: fiction, novelists & prose writers",
"DSR","Literary reference works",
"DSRC","Literary companions, book reviews & guides","Mod"
"DSY","Children’s & teenage literature studies","Mod"
"DSYC","Children’s & teenage book reviews & guides","New"
"E","English language teaching (ELT)",
"EB","ELT background & reference material",
"EBA","ELT: teaching theory & methods",
"EBAL","Applied linguistics for ELT",
"EBAR","ELT resource books for teachers",
"EBD","ELT dictionaries & reference",
"EL","ELT: learning material & coursework",
"ELG","ELT grammar, vocabulary & pronunciation","Mod"
"ELGG","ELT grammar","New"
"ELGP","ELT pronunciation","New"
"ELGV  ","ELT vocabulary","New"
"ELH","ELT graded readers",
"ELHB","ELT non-fiction & background readers","Mod"
"ELHF","ELT literature & fiction readers",
"ELM","ELT non-book material & resources",
"ELP","ELT workbooks, practice books & exercises",
"ELS","ELT self-study texts",
"ELV","ELT examination practice tests",
"ELX","ELT: specific skills",
"ELXD","ELT: speaking skills","Mod"
"ELXG","ELT: listening skills",
"ELXJ","ELT: reading skills",
"ELXN","ELT: writing skills",
"ES","ELT: English for specific purposes",
"ESB","ELT: English for business",
"ESF","ELT: English for academic purposes",
"EST","ELT: English for technical & scientific purposes",
"ESV","ELT: English for travel & communications",
"F","Fiction & related items",
"FA","Modern & contemporary fiction (post c 1945)",
"FC","Classic fiction (pre c 1945)",
"FF","Crime & mystery",
"FFC","Classic crime",
"FFH","Historical mysteries",
"FH","Thriller / suspense",
"FHD","Espionage & spy thriller",
"FHP","Political / legal thriller",
"FJ","Adventure",
"FJH","Historical adventure",
"FJM","War & combat fiction",
"FJMC","Napoleonic War fiction",
"FJMF","First World War fiction",
"FJMS","Second World War fiction",
"FJMV","Vietnam War fiction",
"FJW","Westerns",
"FK","Horror & ghost stories",
"FKC","Classic horror & ghost stories",
"FL","Science fiction",
"FLC","Classic science fiction",
"FLS","Space opera",
"FM","Fantasy",
"FMR","Fantasy romance","New"
"FP","Erotic fiction",
"FQ","Myth & legend told as fiction",
"FR","Romance",
"FRD","Adult & contemporary romance",
"FRH","Historical romance",
"FT","Sagas",
"FV","Historical fiction",
"FW","Religious & spiritual fiction",
"FX","Graphic novels",
"FXA","Graphic novels: Manga",
"FXL","Graphic novels: literary & memoirs",
"FXS","Graphic novels: superheroes & super-villains","Mod"
"FXZ","Graphic novels: true stories & non-fiction",
"FY","Fiction: special features",
"FYB","Short stories",
"FYT","Fiction in translation",
"FZ","Fiction-related items",
"FZC","Fiction companions",
"FZG","Graphic novels: history & criticism",
"G","Reference, information & interdisciplinary subjects",
"GB","Encyclopaedias & reference works",
"GBA","General encyclopaedias",
"GBC","Reference works",
"GBCB","Dictionaries of biography (Who's Who)",
"GBCQ","Dictionaries of quotations",
"GBCR","Bibliographies, catalogues","Mod"
"GBCS","Serials, periodicals, abstracts, indexes",
"GBCT","Directories",
"GBCY","Yearbooks, annuals, almanacs",
"GBG","Geographical reference",
"GBGM","World atlases / world maps",
"GBGP","Place names & gazetteers",
"GL","Library & information sciences",
"GLC","Library, archive & information management",
"GLF","IT, Internet & electronic resources in libraries","Mod"
"GLH","Acquisitions & collection development",
"GLK","Bibliographic & subject control",
"GLM","Library & information services",
"GLMA","Academic & specialist libraries ","New"
"GLMB","Public libraries","New"
"GLMC","School libraries & young reader services  ","New"
"GLMG","Reference services",
"GLML","Circulation services (eg interlibrary loans)",
"GLMX","Community & outreach services",
"GLP","Archiving, preservation & digitisation ","Mod"
"GM","Museology & heritage studies","Mod"
"GP","Research & information: general",
"GPF","Information theory",
"GPFC","Cybernetics & systems theory",
"GPH","Data analysis: general",
"GPJ","Coding theory & cryptology",
"GPQ","Decision theory: general",
"GPQD","Risk assessment",
"GPS","Research methods: general",
"GT","Interdisciplinary studies",
"GTB","Regional studies",
"GTC","Communication studies",
"GTE","Semiotics / semiology",
"GTF","Development studies",
"GTG","General studies",
"GTH","Flags, emblems, symbols, logos","New"
"GTJ","Peace studies & conflict resolution",
"GTN","Institutions & learned societies: general",
"GTR","Cognitive science","New"
"H","Humanities",
"HB","History",
"HBA","History: theory & methods",
"HBAH","Historiography",
"HBG","General & world history",
"HBJ","Regional & national history",
"HBJD","European history",
"HBJD1","British & Irish history",
"HBJF","Asian history",
"HBJF1","Middle Eastern history",
"HBJH","African history",
"HBJK","History of the Americas",
"HBJM","Australasian & Pacific history",
"HBJQ","History of other lands",
"HBL","History: earliest times to present day",
"HBLA","Ancient history: to c 500 CE",
"HBLA1","Classical history / classical civilisation",
"HBLC","Early history: c 500 to c 1450/1500",
"HBLC1","Medieval history",
"HBLH","Early modern history: c 1450/1500 to c 1700",
"HBLL","Modern history to 20th century: c 1700 to c 1900",
"HBLW","20th century history: c 1900  to c 2000",
"HBLW3","Postwar 20th century history, from c 1945 to c 2000",
"HBLX","21st century history: from c 2000 -",
"HBT","History: specific events & topics",
"HBTB","Social & cultural history",
"HBTD","Oral history",
"HBTG","Genealogy, heraldry, names & honours",
"HBTK","Industrialisation & industrial history",
"HBTM","Maritime history",
"HBTP","Historical geography",
"HBTP1","Historical maps & atlases",
"HBTQ","Colonialism & imperialism",
"HBTR","National liberation & independence, post-colonialism",
"HBTS","Slavery & abolition of slavery",
"HBTV","Revolutions, uprisings, rebellions",
"HBTV2","French Revolution",
"HBTV4","Russian Revolution",
"HBTW","The Cold War",
"HBTZ","Genocide & ethnic cleansing",
"HBTZ1","The Holocaust",
"HBW","Military history",
"HBWC","Crusades",
"HBWE","English Civil War",
"HBWF","American War of Independence",
"HBWH","Napoleonic Wars",
"HBWJ","American Civil War",
"HBWL","Crimean War",
"HBWM","Boer Wars",
"HBWN","First World War",
"HBWP","Spanish Civil War",
"HBWQ","Second World War",
"HBWS","Military history: post WW2 conflicts",
"HBWS1","Korean War",
"HBWS2","Vietnam War",
"HBWS3","Gulf War",
"HBWS4","Afghan War",
"HBWS5","Iraq War",
"HD","Archaeology",
"HDA","Archaeological theory",
"HDD","Archaeology by period / region",
"HDDA","Prehistoric archaeology",
"HDDC","Middle & Near Eastern archaeology","New"
"HDDG","Egyptian archaeology / Egyptology",
"HDDH","Biblical archaeology",
"HDDK","Classical Greek & Roman archaeology",
"HDDM","Medieval European archaeology",
"HDL","Landscape archaeology",
"HDP","Environmental archaeology",
"HDR","Underwater archaeology",
"HDT","Industrial archaeology",
"HDW","Archaeological science, methodology & techniques","Mod"
"HP","Philosophy",
"HPC","History of Western philosophy",
"HPCA","Western philosophy: Ancient, to c 500",
"HPCB","Western philosophy: Medieval & Renaissance, c 500 to c 1600",
"HPCD","Western philosophy: c 1600 to c 1900",
"HPCD1","Western philosophy: Enlightenment",
"HPCF","Western philosophy, from c 1900 -",
"HPCF3","Phenomenology & Existentialism",
"HPCF5","Analytical philosophy & Logical Positivism",
"HPCF7","Deconstructionism, Structuralism, Post-structuralism",
"HPD","Non-Western philosophy",
"HPDC","Islamic & Arabic philosophy",
"HPDF","Oriental & Indian philosophy",
"HPJ","Philosophy: metaphysics & ontology",
"HPK","Philosophy: epistemology & theory of knowledge",
"HPL","Philosophy: logic",
"HPM","Philosophy of mind",
"HPN","Philosophy: aesthetics",
"HPQ","Ethics & moral philosophy",
"HPS","Social & political philosophy",
"HPX","Popular philosophy",
"HR","Religion & beliefs",
"HRA","Religion: general",
"HRAB","Philosophy of religion",
"HRAB1","Nature & existence of God",
"HRAC","Comparative religion",
"HRAF","Interfaith relations",
"HRAM","Religious issues & debates",
"HRAM1","Religious ethics",
"HRAM2","Religion & politics",
"HRAM3","Religion & science",
"HRAM6","Religious fundamentalism",
"HRAM7 ","Blasphemy, heresy, apostasy",
"HRAM9","Religious intolerance, persecution & conflict",
"HRAX","History of religion",
"HRC","Christianity",
"HRCA","The historical Jesus",
"HRCC","Christian Churches & denominations",
"HRCC1","The Early Church",
"HRCC2","Church history",
"HRCC7","Roman Catholicism, Roman Catholic Church",
"HRCC8","Orthodox & Oriental Churches",
"HRCC9","Protestantism & Protestant Churches",
"HRCC91","Anglican & Episcopalian Churches, Church of England",
"HRCC92","Baptist Churches",
"HRCC93","Calvinist, Reformed & Presbyterian Churches",
"HRCC95","Methodist Churches",
"HRCC96","Pentecostal Churches",
"HRCC97","Quakers (Religious Society of Friends)",
"HRCC99","Other Nonconformist & Evangelical Churches",
"HRCF","Bibles",
"HRCF1","Old Testaments",
"HRCF2","New Testaments",
"HRCG ","Biblical studies & exegesis",
"HRCG1 ","Biblical commentaries",
"HRCG2","Biblical concordances",
"HRCG3 ","Biblical exegesis & hermeneutics",
"HRCG7 ","Bible studies: for individual or small group study",
"HRCG9","Bible readings, selections & meditations",
"HRCJ","Ecumenism",
"HRCL","Christian liturgy, prayerbooks & hymnals",
"HRCL1","Christian prayerbooks",
"HRCL2","Christian hymnals",
"HRCM","Christian theology",
"HRCP","Christian sermons",
"HRCR","Christian worship, rites & ceremonies",
"HRCR1","Christian prayer",
"HRCS","Christian spirituality & religious experience",
"HRCS1","Christian mysticism",
"HRCV","Christian life & practice",
"HRCV1","Christian sacraments",
"HRCV2","Christian instruction",
"HRCV3","Christian counselling",
"HRCV4","Christian aspects of sexuality, gender & relationships",
"HRCV9","Personal Christian testimony & popular inspirational works",
"HRCX","Christian institutions & organizations",
"HRCX1","Christian leaders & leadership",
"HRCX4","Christian ministry & pastoral activity",
"HRCX6","Christian social thought & activity",
"HRCX7","Christian mission & evangelism",
"HRCX8","Christian communities & monasticism",
"HRCZ","Christian & quasi-Christian cults & sects",
"HRE","Buddhism",
"HREC","Buddhist worship, rites & ceremonies",
"HREP","Buddhist life & practice",
"HRES","Buddhist sacred texts",
"HREX","Tibetan Buddhism",
"HREZ","Zen Buddhism",
"HRG","Hinduism",
"HRGC","Hindu worship, rites & ceremonies",
"HRGP","Hindu life & practice",
"HRGS","Hindu sacred texts",
"HRH","Islam",
"HRHC","Islamic worship, rites & ceremonies",
"HRHP","Islamic life & practice",
"HRHS","The Koran",
"HRHT","Islamic theology",
"HRHX","Sufism & Islamic mysticism",
"HRJ","Judaism",
"HRJC","Judaism: worship, rites & ceremonies",
"HRJP","Judaism: life & practice",
"HRJS","Judaism: sacred texts",
"HRJT","Judaism: theology",
"HRJX","Judaism: mysticism",
"HRK","Other non-Christian religions",
"HRKB","Baha'i",
"HRKJ","Jainism",
"HRKN","Oriental religions",
"HRKN1","Confucianism",
"HRKN3","Shintoism",
"HRKN5","Taoism",
"HRKP","Ancient religions & mythologies",
"HRKP1","Ancient Egyptian religion & mythology",
"HRKP2","Celtic religion & mythology",
"HRKP3","Ancient Greek religion & mythology","New"
"HRKP4","Roman religion & mythology","New"
"HRKP5","Norse religion & mythology","New"
"HRKS","Sikhism",
"HRKT","Tribal religions",
"HRKZ","Zoroastrianism",
"HRL","Aspects of religion (non-Christian)",
"HRLB","Theology",
"HRLC","Sacred texts",
"HRLC1","Criticism & exegesis of sacred texts",
"HRLD","Prayers & liturgical material",
"HRLF","Worship, rites & ceremonies",
"HRLF9","Prayer",
"HRLK","Spirituality & religious experience",
"HRLK2","Mysticism",
"HRLM","Religious life & practice",
"HRLM3","Religious instruction",
"HRLM5","Religious counselling",
"HRLM7","Religious aspects of sexuality, gender & relationships",
"HRLP","Religious institutions & organizations",
"HRLP1","Religious & spiritual leaders",
"HRLP5","Religious social & pastoral thought & activity",
"HRLP7","Religious communities & monasticism",
"HRQ","Alternative belief systems",
"HRQA","Humanist & secular alternatives to religion",
"HRQA5","Agnosticism & atheism",
"HRQC","Eclectic & esoteric religions & belief systems",
"HRQC1","Gnosticism",
"HRQC5","Theosophy & Anthroposophy",
"HRQM","Contemporary non-Christian & para-Christian cults & sects",
"HRQM2","Spiritualism",
"HRQX","Occult studies",
"HRQX2","Magic, alchemy & hermetic thought",
"HRQX5","Witchcraft",
"HRQX9","Satanism & demonology",
"J","Society & social sciences",
"JF","Society & culture: general",
"JFC","Cultural studies",
"JFCA","Popular culture",
"JFCD","Material culture",
"JFCK","Fashion & society",
"JFCV","Food & society",
"JFCX","History of ideas",
"JFD","Media studies",
"JFDT","TV & society",
"JFDV","Advertising & society",
"JFF","Social issues & processes",
"JFFA","Poverty  & unemployment",
"JFFB","Housing & homelessness","Mod"
"JFFC","Social impact of disasters",
"JFFC1","Famine",
"JFFD","Refugees & political asylum",
"JFFE","Violence in society",
"JFFE1","Child abuse",
"JFFE2","Sexual abuse & harassment",
"JFFE3","Domestic violence",
"JFFG","Disability: social aspects",
"JFFH","Illness & addiction: social aspects",
"JFFH1","Drug & substance abuse: social aspects",
"JFFH2","HIV / AIDS: social aspects",
"JFFJ","Social discrimination & inequality","Mod"
"JFFK","Feminism & feminist theory",
"JFFL","Political correctness",
"JFFM","Social mobility",
"JFFN","Migration, immigration & emigration",
"JFFP","Social interaction",
"JFFR","Social forecasting, future studies",
"JFFS","Globalization",
"JFFT","Consumerism",
"JFFU","Public safety issues","New"
"JFFX","Corruption in society","New"
"JFFZ","Animals & society",
"JFH","Popular beliefs & controversial knowledge",
"JFHC","Conspiracy theories",
"JFHF","Folklore, myths & legends",
"JFHX","Hoaxes & deceptions",
"JFM","Ethical issues & debates",
"JFMA","Ethical issues: abortion & birth control",
"JFMC","Ethical issues: capital punishment",
"JFMD","Ethical issues: censorship",
"JFME","Ethical issues: euthanasia & right to die",
"JFMG","Ethical issues: scientific & technological developments",
"JFMP","Ethical issues: pornography & obscenity",
"JFMX","Ethical issues: prostitution & sex industry",
"JFS","Social groups",
"JFSC","Social classes",
"JFSF","Rural communities",
"JFSG","Urban communities",
"JFSJ","Gender studies, gender groups",
"JFSJ1","Gender studies: women",
"JFSJ2","Gender studies: men",
"JFSJ5","Gender studies: transsexuals & hermaphroditism",
"JFSK","Gay & Lesbian studies",
"JFSK1","Lesbian studies",
"JFSK2","Gay studies (Gay men)",
"JFSL","Ethnic studies",
"JFSL1","Ethnic minorities & multicultural studies",
"JFSL3","Black & Asian studies",
"JFSL4","Hispanic & Latino studies",
"JFSL9","Indigenous peoples",
"JFSP","Age groups",
"JFSP1","Age groups: children",
"JFSP2","Age groups: adolescents",
"JFSP3","Age groups: adults",
"JFSP31","Age groups: the elderly",
"JFSR","Religious groups: social & cultural aspects",
"JFSR1","Jewish studies",
"JFSR2","Islamic studies",
"JFSS","Alternative lifestyles",
"JFSV","Social groups: clubs & societies",
"JFSV1","Freemasonry & secret societies",
"JH","Sociology & anthropology",
"JHB","Sociology",
"JHBA","Social theory",
"JHBC","Social research & statistics",
"JHBD","Population & demography",
"JHBF","Sociology: birth",
"JHBK","Sociology: family & relationships",
"JHBK5","Sociology: sexual relations",
"JHBL","Sociology: work & labour",
"JHBS","Sociology: sport & leisure",
"JHBT","Sociology: customs & traditions",
"JHBZ","Sociology: death & dying",
"JHM","Anthropology",
"JHMC","Social & cultural anthropology, ethnography","Mod"
"JHMP","Physical anthropology","Mod"
"JK","Social services & welfare, criminology",
"JKS","Social welfare & social services",
"JKSB","Welfare & benefit systems",
"JKSB1","Child welfare",
"JKSF","Adoption & fostering",
"JKSG","Care of the elderly",
"JKSM","Care of the mentally ill",
"JKSN","Social work",
"JKSN1","Charities, voluntary services & philanthropy",
"JKSN2","Counselling & advice services",
"JKSR","Aid & relief programmes",
"JKSW","Emergency services",
"JKSW1","Police & security services",
"JKSW2","Fire services",
"JKSW3","Ambulance & rescue services",
"JKV","Crime & criminology",
"JKVC","Causes & prevention of crime",
"JKVF","Criminal investigation & detection",
"JKVF1","Forensic science",
"JKVG","Drugs trade / drug trafficking",
"JKVJ","Street crime / gun crime",
"JKVK","Corporate crime",
"JKVM","Organized crime",
"JKVP","Penology & punishment",
"JKVP1","Prisons",
"JKVQ","Offenders",
"JKVQ1","Rehabilitation of offenders",
"JKVQ2","Juvenile offenders",
"JKVS","Probation services",
"JM","Psychology",
"JMA","Psychological theory & schools of thought",
"JMAF","Psychoanalytical theory (Freudian psychology)",
"JMAJ","Analytical & Jungian psychology",
"JMAL","Behavioural theory (Behaviourism)",
"JMAN","Humanistic psychology",
"JMAQ","Cognitivism, cognitive theory",
"JMB","Psychological methodology",
"JMBT","Psychological testing & measurement",
"JMC","Child & developmental psychology",
"JMD","Psychology of ageing",
"JMF","Family psychology",
"JMG","Psychology of gender",
"JMH","Social, group or collective psychology",
"JMJ","Occupational & industrial psychology",
"JMK","Criminal or forensic psychology",
"JML","Experimental psychology",
"JMM","Physiological & neuro-psychology, biopsychology",
"JMP","Abnormal psychology",
"JMQ","Psychology: emotions",
"JMR","Cognition & cognitive psychology",
"JMRL","Learning",
"JMRM","Memory",
"JMRN","Intelligence & reasoning",
"JMRP","Perception",
"JMS","The self, ego, identity, personality",
"JMT","States of consciousness",
"JMTC","Conscious & unconscious",
"JMTD","Sleep & dreams",
"JMTH","Hypnosis",
"JMTK","Drug-induced states",
"JMU","Sexual behaviour",
"JMX","Parapsychological studies",
"JN","Education",
"JNA","Philosophy & theory of education",
"JNAM","Moral & social purpose of education",
"JNB","History of education","New"
"JNC","Educational psychology",
"JNF","Educational strategies & policy",
"JNFD","Literacy strategies",
"JNFG","Numeracy strategies",
"JNFN","Inclusive education / mainstreaming",
"JNFR","Multicultural education",
"JNH","Education: care & counselling of students",
"JNHB","Bullying & anti-bullying strategies",
"JNHT","Truancy & anti-truancy strategies",
"JNHX","Exclusions / dropping out of school",
"JNK","Organization & management of education",
"JNKA","Admissions procedures",
"JNKC","Curriculum planning & development",
"JNKD","Examinations & assessment",
